precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PUCHEANU IONUŢ-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","VREME DANIELA-SIMONA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ATANASIU ONUŢ-VALERIU-PARTIDUL NAȚIONAL LIBERAL-voturi","AMBRINOC STĂNICĂ-PARTIDUL PRO ROMÂNIA-voturi","TĂUNE MARCELINA-ROMÂNIA SOCIALISTĂ-voturi","DOBRESCU BOGDAN-PARTIDUL S.O.S. ROMÂNIA-voturi","ŞARPE DANIELA-ANCUŢA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DURBACĂ EUGEN-PARTIDUL CONSERVATOR DEMOCRAT-voturi","CĂSTĂIAN DORU-VALENTIN-PACT PENTRU GALAȚI-voturi","ROMAN APOSTOL-PICU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","DERMENGI MIHAI-voturi"
18,GALAŢI,"COLEGIUL DE INDUSTRIE ALIMENTARĂ ”ELENA DOAMNA” (GRUP ȘCOLAR ”ELENA DOAMNA”)",43,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:02:55",1572,1541,0,12,19,537,506,0,12,19,517,20,600,63,285,37,25,5,5,20,42,6,54,24,14
18,GALAŢI,"COLEGIUL DE INDUSTRIE ALIMENTARĂ ”ELENA DOAMNA” (GRUP ȘCOLAR ”ELENA DOAMNA”)",42,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:40:59",1731,1714,1,11,5,605,588,1,11,5,580,14,2000,1406,327,38,43,8,4,16,40,3,57,40,4
18,GALAŢI,"COLEGIUL ECONOMIC ”VIRGIL MADGEARU” (GRUP ȘCOLAR ECONOMIC ADMINISTRATIV ”VIRGIL MADGEARU”)",59,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:42:03",1772,1762,0,10,0,651,641,0,10,0,636,15,2000,1349,432,29,43,4,1,18,34,3,41,24,7
18,GALAŢI,"COLEGIUL ECONOMIC ”VIRGIL MADGEARU” (GRUP ȘCOLAR ECONOMIC ADMINISTRATIV ”VIRGIL MADGEARU”)",58,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:25:50",1944,1916,0,6,22,459,431,0,6,22,447,12,2000,1541,300,28,15,5,2,8,29,2,29,20,9
18,GALAŢI,"COLEGIUL ECONOMIC ”VIRGIL MADGEARU” (GRUP ȘCOLAR ECONOMIC ADMINISTRATIV ”VIRGIL MADGEARU”)",55,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:00:18",1937,1899,0,7,31,223,185,0,7,31,220,3,2000,1777,123,22,10,1,0,14,10,2,15,17,6
18,GALAŢI,"COLEGIUL ECONOMIC ”VIRGIL MADGEARU” (GRUP ȘCOLAR ECONOMIC ADMINISTRATIV ”VIRGIL MADGEARU”)",56,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:46:09",1897,1843,0,4,50,158,104,0,4,50,134,24,2000,1066,76,14,6,0,1,2,8,2,16,6,3
18,GALAŢI,"COLEGIUL ECONOMIC ”VIRGIL MADGEARU” (GRUP ȘCOLAR ECONOMIC ADMINISTRATIV ”VIRGIL MADGEARU”)",57,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:17:18",1848,1811,0,5,32,139,102,0,5,32,137,2,2000,1859,84,17,9,1,0,4,6,1,5,7,3
18,GALAŢI,"COLEGIUL NAȚIONAL ”ALEXANDRU IOAN CUZA” (GRĂDINIȚA NR. 59 - FOSTA ȘCOALĂ GENERALĂ NR. 8)",52,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:22:00",1396,1386,2,7,1,600,592,0,7,1,590,10,1600,1000,412,27,27,2,3,10,37,4,51,11,6
18,GALAŢI,"COLEGIUL NAȚIONAL ”ALEXANDRU IOAN CUZA” (GRĂDINIȚA NR. 59 - FOSTA ȘCOALĂ GENERALĂ NR. 8)",53,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:40:31",1316,1304,3,8,1,488,479,0,8,1,488,0,1600,1112,315,23,31,3,3,17,34,6,47,9,0
18,GALAŢI,"COLEGIUL NAȚIONAL ”ALEXANDRU IOAN CUZA” (GRĂDINIȚA NR. 59 - FOSTA ȘCOALĂ GENERALĂ NR. 8)",51,"MUNICIPIUL GALAŢI",75098,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:51",1188,1181,0,6,1,537,530,0,6,1,519,18,1200,663,318,24,22,4,1,7,55,4,59,18,7
