precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOVILEANU TARCISIUS-OVIDIU-IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","VOICULESCU ION-FLORIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DRĂGAN BOGDAN-FĂNEL-voturi"
31,PRAHOVA,"GRĂDINŢA CU PROGRAM NORMAL IZVORU",526,"PROVIŢA DE SUS",134899,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:04:25",300,287,0,6,7,214,201,0,6,7,213,1,338,124,120,89,4
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ CU CLASELE I-VIII”MITROPOLIT PIMEN GEORGESCU” PROVIŢA DE SUS",525,"PROVIŢA DE SUS",134899,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:45:43",1330,1282,1,4,43,912,865,0,4,43,884,28,1400,488,559,291,34
