precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
5,BIHOR,"CĂMIN CULTURAL ROHANI",300,CĂPÂLNA,28139,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:15:55",110,64,0,29,17,94,48,0,29,17,89,5,113,19,50,1,1,32,5
5,BIHOR,"GRĂDINIȚA SĂLDĂBAGIU MIC",301,CĂPÂLNA,28139,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:24:12",357,318,0,24,15,278,239,0,24,15,272,6,341,38,53,23,57,134,5
5,BIHOR,"PRIMĂRIA CĂPÎLNA",298,CĂPÂLNA,28139,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:52:37",278,236,0,33,9,226,184,0,33,9,221,5,263,37,63,6,25,124,3
5,BIHOR,"ȘCOALA GENERALĂ",302,CĂPÂLNA,28139,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:54:22",305,273,0,15,17,240,208,0,15,17,223,17,320,80,74,18,28,102,1
5,BIHOR,"ȘCOALA GENERALĂ",299,CĂPÂLNA,28139,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:38:27",254,223,0,26,5,166,135,0,26,5,159,7,253,87,38,0,4,57,60
