precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
14,CONSTANŢA,"SCOALA GIMNAZIALA ”SA ESENIN” GHINDARESTI",447,GHINDĂREŞTI,61826,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:34:57",1105,1092,2,5,6,546,534,1,5,6,519,27,1208,662,68,175,158,84,34
14,CONSTANŢA,"SCOALA GIMNAZIALA ”SA ESENIN” GHINDARESTI",448,GHINDĂREŞTI,61826,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:32:54",1056,1043,2,3,8,522,510,1,3,8,492,17,1159,650,61,154,161,91,25
