precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL VERDE-voturi"
13,CLUJ,"CAMINUL CULTURAL",361,CĂIANU,56354,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:24:09",428,411,0,9,8,248,231,0,9,8,237,11,451,192,41,2,145,37,12
13,CLUJ,"CAMINUL CULTURAL BĂRĂI",362,CĂIANU,56354,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:20:50",197,185,2,4,6,98,88,0,4,6,93,5,210,112,43,1,21,17,11
13,CLUJ,"SCOALA GENERALĂ CĂIANU VAMĂ",364,CĂIANU,56354,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:20:31",338,326,0,6,6,219,207,0,6,6,214,5,362,143,65,8,102,13,26
13,CLUJ,"ȘCOALĂ GIMNAZIALĂ CĂIANU",363,CĂIANU,56354,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:06:34",164,156,0,6,2,113,105,0,6,2,112,1,172,59,12,6,72,14,8
13,CLUJ,"SCOALA GIMNAZIALA VAIDA CĂMĂRAS",365,CĂIANU,56354,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:38:39",697,683,2,2,10,338,326,0,2,10,320,18,761,423,29,241,41,8,1
13,CLUJ,"ȘCOALA PRIMARĂ VĂLENI",366,CĂIANU,56354,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:56:40",145,143,0,2,0,96,94,0,2,0,92,4,157,61,24,0,51,13,4
