precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPESCU COSMIN-MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi","IORDACHE ION-PARTIDUL NAȚIONAL LIBERAL-voturi","ZORLESCU ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PĂNESCU CONSTANTIN-ALIANȚA NAȚIONAL CREȘTINĂ-voturi","DAVIŢOIU NICOLAE-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","IACOBESCU MARCEL-PETRICĂ-PARTIDUL VERDE-voturi","MOTOHONU ALEXANDRU-MARIUS-PARTIDUL S.O.S. ROMÂNIA-voturi","MIROIU DUMITRU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","DUMITRU RAUL-ŞTEFĂNIŢĂ-PARTIDUL ROMÂNIA MARE-voturi"
20,GORJ,"CĂMIN CULTURAL",132,ARCANI,78668,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:10:10",1228,1096,1,67,64,835,704,1,67,63,812,23,1264,429,595,105,52,5,24,12,10,5,4
20,GORJ,"CĂMIN CULTURAL",98,"ORAŞ TÂRGU CĂRBUNEŞTI",78329,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 19:15:48",547,533,2,9,3,375,362,1,9,3,360,15,600,225,244,52,45,2,8,1,3,1,4
20,GORJ,"CĂMIN CULTURAL",332,VLADIMIR,82831,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:18:23",853,790,1,47,15,607,544,1,47,15,582,25,900,293,330,97,85,2,45,2,18,1,2
20,GORJ,"CĂMIN CULTURAL BĂLCEŞTI",155,BENGEŞTI-CIOCADIA,78873,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 16:22:28",632,617,0,13,2,404,389,0,13,2,389,15,700,296,167,79,116,9,11,7,0,0,0
20,GORJ,"CĂMIN CULTURAL BĂLEŞTI",139,BĂLEŞTI,77910,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-14 20:54:09",1736,1698,0,20,18,1176,1138,0,20,18,1068,108,1900,724,621,222,82,7,60,18,31,7,20
20,GORJ,"CĂMIN CULTURAL BENGEŞTI",154,BENGEŞTI-CIOCADIA,78873,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:01:47",287,277,0,8,2,190,180,0,8,2,178,12,300,110,121,32,17,0,4,0,2,1,1
20,GORJ,"CĂMIN CULTURAL CĂLUGĂRENI",258,PADEŞ,81095,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 19:33:10",878,856,1,8,13,604,583,0,8,13,566,38,1000,396,254,199,78,4,8,4,12,1,6
20,GORJ,"CĂMIN CULTURAL FRUNZA",243,LOGREŞTI,80766,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:00:09",547,530,0,13,4,369,352,0,13,4,331,22,600,247,127,95,66,0,27,0,1,13,2
20,GORJ,"CĂMIN CULTURAL JUPÎNEŞTI",232,JUPÂNEŞTI,80613,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 13:25:40",523,514,0,9,0,347,338,0,9,0,333,14,600,253,230,45,19,1,11,1,5,20,1
20,GORJ,"CĂMIN CULTURAL RASOVA",142,BĂLEŞTI,77910,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-14 21:19:25",447,425,0,16,6,312,290,0,16,6,300,12,477,165,173,61,30,3,10,7,12,3,1
20,GORJ,"CĂMIN CULTURAL STOLOJANI",143,BĂLEŞTI,77910,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-14 21:24:04",558,533,0,19,6,346,321,0,19,6,339,7,600,254,224,54,29,0,18,3,10,0,1
20,GORJ,"CĂMIN CULTURAL TÎRGU LOGREȘTI",242,LOGREŞTI,80766,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:35:08",550,524,0,18,8,350,324,0,18,8,333,17,550,200,158,56,81,2,5,3,7,18,3
20,GORJ,"CĂMINUL CULTURAL ANINIŞ",194,CRASNA,79834,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:10:47",768,764,1,3,0,477,474,0,3,0,462,15,800,323,203,97,112,5,16,11,14,0,4
20,GORJ,"CĂMINUL CULTURAL BÂLTA",283,RUNCU,81576,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 23:18:35",1418,1367,0,29,22,971,920,0,29,22,942,29,1500,529,768,56,73,0,23,5,13,0,4
20,GORJ,"CĂMINUL CULTURAL BOBU",297,SCOARŢA,81861,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:17:24",998,950,2,32,14,620,573,1,32,14,595,25,1000,380,333,153,46,4,30,6,14,6,3
20,GORJ,"CĂMINUL CULTURAL BRĂDET",250,MĂTĂSARI,80846,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:00:39",678,650,0,11,17,455,427,0,11,17,439,16,700,245,128,150,52,1,93,5,8,1,1
20,GORJ,"CĂMINUL CULTURAL BUDIENI",298,SCOARŢA,81861,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 12:59:47",671,609,0,46,16,448,386,0,46,16,435,13,700,252,284,77,37,2,18,5,7,4,1
20,GORJ,"CĂMINUL CULTURAL BUMBEŞTI-PIŢIC",171,BUMBEŞTI-PIŢIC,79362,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 20:12:14",1033,964,1,41,27,701,632,1,41,27,666,35,1100,399,350,198,47,3,36,7,18,3,4
20,GORJ,"CĂMINUL CULTURAL CĂRPINIŞ",195,CRASNA,79834,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 17:58:27",1555,1506,1,33,15,993,945,0,33,15,964,29,1700,707,461,206,173,13,78,6,14,2,11
20,GORJ,"CĂMINUL CULTURAL CÎLNIC",186,CÂLNIC,79736,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 17:09:45",717,676,1,30,10,519,479,0,30,10,509,10,701,182,104,248,108,4,7,9,6,20,3
20,GORJ,"CĂMINUL CULTURAL CIUPERCENI",190,CIUPERCENI,79656,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:21:26",429,392,2,27,8,315,279,1,27,8,305,10,450,135,134,133,16,5,5,4,6,0,2
20,GORJ,"CĂMINUL CULTURAL COVRIGI",331,VĂGIULEŞTI,82779,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 11:42:18",933,883,0,15,35,653,603,0,15,35,617,36,981,328,221,151,207,1,24,4,9,0,0
20,GORJ,"CĂMINUL CULTURAL DOBRIŢA",284,RUNCU,81576,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 21:40:06",835,774,1,30,30,561,502,0,30,29,552,9,900,339,429,49,34,4,21,1,8,4,2
20,GORJ,"CĂMINUL CULTURAL DUMBRĂVENI",197,CRASNA,79834,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:55:52",675,661,2,5,7,401,387,2,5,7,390,11,773,372,218,72,72,0,10,0,10,4,4
20,GORJ,"CĂMINUL CULTURAL FRĂTEȘTI",237,LELEŞTI,80677,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 17:45:47",329,290,0,39,0,256,217,0,39,0,251,5,300,44,178,38,20,0,2,5,4,1,3
20,GORJ,"CĂMINUL CULTURAL „IZVORUL”",278,"ROŞIA DE AMARADIA",81497,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 12:13:38",1114,1081,0,12,21,747,714,0,12,21,731,16,1200,453,150,536,32,0,7,2,3,1,0
