precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ILIŞESCU IOAN-voturi"
35,SUCEAVA,"CASA SOCIALĂ ”ARHIM. ZENOVIE GHIDESCU”",99,"MUNICIPIUL FĂLTICENI",146539,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:20:24",837,823,1,8,5,429,416,0,8,5,417,12,1000,571,46,288,21,29,24,4,5
35,SUCEAVA,"COLEGIUL NAŢIONAL ”NICU GANE”",82,"MUNICIPIUL FĂLTICENI",146539,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:47:04",1451,1435,5,8,3,657,646,0,8,3,642,15,1600,943,50,395,54,103,21,4,15
35,SUCEAVA,"COLEGIUL NAŢIONAL ”NICU GANE”",83,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:15:27",1497,1489,0,6,2,679,671,0,6,2,656,23,1600,921,61,439,34,73,18,6,25
35,SUCEAVA,"COLEGIUL TEHNIC ”MIHAI BĂCESCU”",80,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:00:05",1378,1363,5,4,6,668,658,0,4,6,653,15,1596,928,55,368,62,105,28,6,29
35,SUCEAVA,"COLEGIUL ”VASILE LOVINESCU”",95,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:00:24",1294,1285,3,3,3,536,530,0,3,3,512,24,1400,864,45,335,43,60,11,1,17
35,SUCEAVA,"COLEGIUL ”VASILE LOVINESCU”",97,"MUNICIPIUL FĂLTICENI",146539,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:25:25",1702,1678,4,8,12,848,828,0,8,12,816,32,1800,952,79,488,71,113,27,5,33
35,SUCEAVA,"COLEGIUL ”VASILE LOVINESCU”",96,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:26:39",1364,1362,0,1,1,599,597,0,1,1,578,21,1400,801,46,356,60,84,8,4,20
35,SUCEAVA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",92,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:19:56",995,987,0,5,3,398,390,0,5,3,385,13,1200,802,31,251,32,40,16,5,10
35,SUCEAVA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",93,"MUNICIPIUL FĂLTICENI",146539,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:39:44",1022,1017,0,5,0,420,415,0,5,0,408,12,1200,780,35,264,33,43,16,2,15
35,SUCEAVA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",94,"MUNICIPIUL FĂLTICENI",146539,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:04",899,885,3,5,6,405,394,0,5,6,397,8,1000,595,36,271,24,46,13,1,6
