precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POGAN MARINELA-CORINA-PARTIDUL NAȚIONAL LIBERAL-voturi","RÎŞTEIU CIPRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","TALPAŞ IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","JURCA MARIN-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","TOMUŞ DOREL-RADU-voturi"
1,ALBA,"CĂMINUL CULTURAL AVRAM IANCU",198,"AVRAM IANCU",2577,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:13:17",593,556,3,12,22,402,368,0,12,22,397,4,620,219,84,177,71,4,61
1,ALBA,"ŞCOALA PRIMARĂ I-IV TÎRSA",199,"AVRAM IANCU",2577,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:31:54",610,589,0,4,17,470,449,0,4,17,462,7,655,186,73,240,143,2,4
