precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MÎNZÎNĂ ION-PARTIDUL SOCIAL DEMOCRAT-voturi","VELCESCU FLORIN-BOGDAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PERIANU RADU-VALERIU-PARTIDUL NAȚIONAL LIBERAL-voturi","MĂRĂŞOIU DORIN-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","LAZĂR ION-CORNEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","SOARE EMANUEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALEXANDRESCU INGRID-ELENA-PARTIDUL S.O.S. ROMÂNIA-voturi"
3,ARGEŞ,"FOSTUL SEDIU AL GRĂDINIȚEI DIN BLOCUL M6",147,"ORAŞ MIOVENI",13301,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:30:50",1615,1609,0,6,0,747,741,0,6,0,721,20,1700,953,336,77,187,2,11,86,22
3,ARGEŞ,"FOSTUL SEDIU AL GRĂDINIȚEI DIN BLOCUL T6",158,"ORAŞ MIOVENI",13301,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:28:38",1458,1448,2,8,0,746,738,0,8,0,730,16,1600,854,230,83,234,6,24,114,39
3,ARGEŞ,"FOSTUL SEDIU AL ȘCOLII CLUCEREASA",162,"ORAŞ MIOVENI",13301,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:25:31",212,201,2,9,0,210,201,0,9,0,202,8,450,240,125,16,33,0,2,19,7
3,ARGEŞ,"FOSTUL SEDIU AL ȘCOLII RACOVIȚA DE SUS",168,"ORAŞ MIOVENI",13301,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:30:51",680,677,0,3,0,408,405,0,3,0,398,10,800,392,199,34,97,4,3,49,12
3,ARGEŞ,"GRĂDINIȚA AFTER SCHOOL - GEAMĂNA",247,BRADU,13276,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:45:56",1634,1610,9,12,3,852,836,1,12,3,832,20,1760,908,361,87,150,15,21,157,41
3,ARGEŞ,"GRĂDINIŢA BÎRLOGU",410,NEGRAŞI,17726,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:45:22",632,600,1,30,1,407,376,0,30,1,366,41,657,250,201,41,43,4,6,46,25
3,ARGEŞ,"GRĂDINIŢA BUJOI",235,BOGAŢI,14584,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:58:25",510,497,3,8,2,331,321,0,8,2,327,4,550,219,137,35,83,55,2,15,0
3,ARGEŞ,"GRĂDINIȚA ”CAMPIONII”",160,"ORAŞ MIOVENI",13301,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:11:02",1931,1920,2,9,0,907,898,0,9,0,884,23,2100,1193,344,106,209,6,24,153,42
3,ARGEŞ,"GRĂDINIŢA CERBURENI",509,"VALEA IAŞULUI",19695,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:10:40",313,309,0,4,0,199,195,0,4,0,186,13,353,154,97,47,21,1,0,14,6
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM NORMAL COTU MALULUI",360,LEORDENI,16757,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:40:41",345,340,0,5,0,222,217,0,5,0,213,9,376,154,93,36,70,0,0,11,3
