precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OIŢĂ TUDOR-PARTIDUL SOCIAL DEMOCRAT-voturi","PAPUC FLORIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","CEAMBUR VASILE-MIRCEA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LUPU VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","MALANCA CONSTANTIN-PARTIDUL MIȘCAREA POPULARĂ-voturi"
20,GORJ,"ȘCOALA GIMNAZIALĂ NR.1 NEGOMIR",255,NEGOMIR,80980,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:23:04",1072,1047,1,7,17,768,744,0,7,17,742,26,1200,432,603,24,79,32,4
20,GORJ,"ȘCOALA GIMNAZIALĂ RACI",257,NEGOMIR,80980,3,PART,PRCNCT,P,P_SV,"2024-06-12 00:55:20",799,782,0,8,9,551,534,0,8,9,540,11,845,294,448,2,48,40,2
20,GORJ,"ȘCOALA PRIMARĂ ARTANU",256,NEGOMIR,80980,2,PART,PRCNCT,P,P_SV,"2024-06-12 00:37:23",936,905,1,16,14,659,628,1,16,14,639,20,1000,341,534,18,54,33,0
