precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CRIŞAN DAN-MIRCEA-PARTIDUL SOCIAL DEMOCRAT-voturi","MIKLOS TIBOR-LASZLO-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","CIAPO LUDOVIC-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANDREI ILIE-MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","COCIŞ SZILÁRD-ALEXANDRU-PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
28,MUREŞ,"CĂMINUL CULTURAL ADĂMUȘ",219,ADĂMUŞ,115076,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:50:59",1059,1051,2,2,4,444,438,0,2,4,440,4,1170,726,198,118,42,49,33
28,MUREŞ,"CĂMINUL CULTURAL CRĂIEȘTI",221,ADĂMUŞ,115076,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:10:50",844,819,0,0,25,398,373,0,0,25,389,9,930,532,28,287,60,10,4
28,MUREŞ,"ȘCOALA GIMNAZIALĂ ADĂMUȘ",218,ADĂMUŞ,115076,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:40:33",665,653,1,5,6,246,234,1,5,6,238,8,727,481,70,119,21,19,9
28,MUREŞ,"SCOALA GIMNAZIALĂ DÂMBĂU",222,ADĂMUŞ,115076,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:15",855,832,1,2,20,377,355,0,2,20,370,7,940,563,66,257,21,13,13
28,MUREŞ,"ȘCOALA PRIMARĂ CORNEȘTI",220,ADĂMUŞ,115076,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:54:56",947,944,0,0,3,384,381,0,0,3,365,19,1040,656,93,191,42,30,9
