precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
14,CONSTANŢA,"GRĂDINIȚA CU PROGRAM NORMAL TOPRAISAR",543,TOPRAISAR,63072,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:45:29",1409,1384,2,19,4,765,742,0,19,4,745,20,1528,763,28,205,321,139,52
14,CONSTANŢA,"ȘCOALA I-IV POTÂRNICHEA",547,TOPRAISAR,63072,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:46:01",406,397,0,9,0,210,201,0,9,0,203,7,437,227,8,45,81,42,27
14,CONSTANŢA,"ȘCOALA I-VIII BIRUINȚA",545,TOPRAISAR,63072,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:57:34",681,667,0,14,0,352,338,0,14,0,344,8,731,379,11,75,183,41,34
14,CONSTANŢA,"ȘCOALA I-VIII MOVILIȚA",546,TOPRAISAR,63072,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:13",1003,986,0,10,7,523,506,0,10,7,505,18,1087,564,52,110,204,106,33
14,CONSTANŢA,"ȘCOALA VECHE TOPRAISAR",544,TOPRAISAR,63072,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:31:44",1635,1619,4,6,6,917,905,0,6,6,879,36,1781,864,26,257,376,162,58
