precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL GĂVĂNEŞTI",204,GĂVĂNEŞTI,130302,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:45:29",565,535,1,7,22,375,346,0,7,22,363,12,610,235,301,28,34
30,OLT,"SCOALA CU CLASELE I-VIII BALEASA",205,GĂVĂNEŞTI,130302,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:10:36",659,630,0,10,19,431,402,0,10,19,422,9,710,279,375,12,35
30,OLT,"SCOALA CU CLS.I-IV BROSTENI",206,GĂVĂNEŞTI,130302,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:22",308,291,0,5,12,206,189,0,5,12,205,1,331,125,158,1,46
