precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","POPA CONSTANTIN-CĂTĂLIN-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ŞIRINEASA",393,ŞIRINEASA,173686,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:04:05",1167,1157,2,0,8,661,653,0,0,8,613,48,1280,619,262,34,62,101,10,90,54
40,VÂLCEA,"ŞCOALA PRIMARĂ CIORĂŞTI",394,ŞIRINEASA,173686,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:10:16",497,484,0,2,11,320,308,0,2,10,301,19,520,200,145,49,12,33,24,25,13
40,VÂLCEA,"ŞCOALA PRIMARĂ SLĂVITEŞTI",395,ŞIRINEASA,173686,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:38:15",249,240,0,6,3,136,127,0,6,3,133,3,260,124,70,11,1,35,3,7,6
