precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi"
26,MARAMUREŞ,"CLUBUL TINERETULUI",389,RUSCOVA,108696,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:54",1612,1591,0,2,19,614,593,0,2,19,570,44,1750,1136,59,358,21,132
26,MARAMUREŞ,"GRĂDINIŢA NR.1",390,RUSCOVA,108696,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:53:06",1742,1704,0,7,31,689,651,0,7,31,640,49,1850,1161,83,337,27,193
26,MARAMUREŞ,"ŞCOALA GENERALĂ NR.2",391,RUSCOVA,108696,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:34:24",1130,1114,0,7,9,388,372,0,7,9,368,20,1262,874,49,192,55,72
