precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"AITONEANU IOAN-DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","SAVU ALEXANDRU-CĂTĂLIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ADI GHEORGHE-ADRIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","TRUŢĂ RADU-IONUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi"
13,CLUJ,"CĂMINUL CULTURAL",587,PLOSCOŞ,58990,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:19:59",352,326,0,16,10,247,221,0,16,10,242,5,348,101,149,32,21,40
13,CLUJ,"ŞCOALA CU CLASELE I-IV",588,PLOSCOŞ,58990,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:18:35",211,208,0,0,3,150,147,0,0,3,149,1,235,85,71,34,6,38
