precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUMITRESCU IULIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","AXINIA ADRIAN-GEORGE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NANU VIRGILIU-DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","IONESCU GEORGE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PETRACHE ADRIAN-ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","NĂSULEA GHEORGHE-PARTIDUL S.O.S. ROMÂNIA-voturi","NEAGU MIHAI-CRISTIAN-ALIANȚA MIȘCAREA, NOI PLOIEȘTENII - REPER-voturi","MUŞUROIA GABRIEL-MIHAIL-PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi"
31,PRAHOVA,"PRIMĂRIA POIANA CÂMPINA-CLĂDIRE BIROURI",507,"POIANA CÂMPINA",131274,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:56:11",1203,1197,1,3,2,673,668,0,3,2,636,37,1300,627,298,77,126,79,8,19,13,16
31,PRAHOVA,"PRIMĂRIA TRĂISTENI",613,"VALEA DOFTANEI",136107,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:49:06",930,926,0,2,2,473,469,0,2,2,451,22,1022,549,49,81,270,28,1,10,8,4
31,PRAHOVA,"PUNCTUL DE LUCRU AL PRIMĂRIEI BRAZI DIN SATUL POPEŞTI",345,BRAZI,130712,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:19:24",1473,1443,1,9,20,782,753,0,9,20,720,53,1611,838,228,62,122,53,14,40,16,185
31,PRAHOVA,"SALA DE FESTIVITĂŢI A PRIMĂRIEI COMUNEI BRAZI",343,BRAZI,130712,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:21:21",669,633,0,18,18,418,382,0,18,18,400,18,698,280,121,34,42,16,17,14,11,145
31,PRAHOVA,"SALA DE SPORT A ŞCOLII GIMNAZIALE ”DUMITRU HERA” BĂTEŞTI",342,BRAZI,130712,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 15:10:58",1452,1410,1,22,19,802,761,0,22,19,754,48,1572,770,179,64,133,108,19,50,17,184
31,PRAHOVA,"SALA DE SPORT A ŞCOLII GIMNAZIALE ”PROFESOR OPREA MIHAI” SAT NEGOIEŞTI",344,BRAZI,130712,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:57:59",1568,1526,12,20,10,837,803,4,20,10,800,36,1692,851,205,48,162,95,10,39,37,204
31,PRAHOVA,"SALA DE SPORT BUCOV",353,BUCOV,130785,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:14:34",1697,1688,0,7,2,696,687,0,7,2,659,37,1804,1108,214,91,151,112,6,33,29,23
31,PRAHOVA,"SALA DE SPORT BUCOV",355,BUCOV,130785,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:51:20",1443,1438,5,0,0,649,649,0,0,0,625,24,1600,951,209,79,137,128,6,22,26,18
31,PRAHOVA,"SALA DE SPORT BUCOV",354,BUCOV,130785,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:23:00",1526,1523,0,3,0,698,695,0,3,0,632,63,1700,1005,318,74,102,62,6,35,31,4
31,PRAHOVA,"SALǍ DE SPORT CU TRIBUNǍ 180 LOCURI",183,"ORAŞ AZUGA",130954,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:19:02",1154,1132,0,19,3,720,698,0,19,3,680,40,1300,580,188,86,289,60,5,24,22,6
