precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IOAN GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","PISICĂ FLORIAN-GELU-PARTIDUL SOCIAL DEMOCRAT-voturi"
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL",316,ŢIGĂNEŞTI,154834,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:08:54",1163,1134,0,2,27,700,671,0,2,27,670,30,1274,574,73,597
36,TELEORMAN,"ȘCOALA CU CLASELE I-IV",315,ŢIGĂNEŞTI,154834,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:53:30",794,776,0,1,17,794,776,0,1,17,757,29,1485,699,64,693
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”I.GH.DUCA”",317,ŢIGĂNEŞTI,154834,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:10:47",1441,1402,0,1,38,817,778,0,1,38,798,19,1540,723,60,738
