precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
1,ALBA,"CENTRUL CULTURAL ”VALENTIN URITESCU” AL ORAŞULUI CUGIR",145,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:12:55",1279,1266,1,10,2,562,550,0,10,2,546,16,1400,838,125,88,62,271
1,ALBA,"COLEGIUL NAŢIONAL ”DAVID PRODAN” CUGIR",138,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:48:37",1017,1005,2,10,0,418,407,1,10,0,406,12,1100,682,130,61,45,170
1,ALBA,"COLEGIUL NAŢIONAL ”DAVID PRODAN” CUGIR",139,"ORAŞ CUGIR",1696,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:26:43",996,987,3,5,1,406,400,0,5,1,398,8,1100,694,136,84,30,148
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PITICOT” CUGIR",146,"ORAŞ CUGIR",1696,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:02",1133,1127,1,5,0,506,501,0,5,0,493,13,1300,794,132,96,37,228
1,ALBA,"LICEUL TEHNOLOGIC „ION D.LĂZĂRESCU” CUGIR",144,"ORAŞ CUGIR",1696,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:03:57",979,970,2,5,2,369,361,1,5,2,355,14,1100,731,92,72,60,131
1,ALBA,"ŞCOALA GIMNAZIALĂ ”IOAN MIHU” VINEREA",154,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:14:27",913,905,3,5,0,505,500,0,5,0,492,13,1000,495,108,35,37,312
1,ALBA,"ȘCOALA GIMNAZIALĂ IOAN MIHU - VINEREA",153,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:43:49",1055,1054,0,0,1,544,543,0,0,1,528,16,1186,626,111,43,38,336
1,ALBA,"ŞCOALA GIMNAZIALĂ ”IOSIF PERVAIN” CUGIR",148,"ORAŞ CUGIR",1696,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:38:09",1093,1085,2,5,1,537,531,0,5,1,529,8,1200,663,175,70,61,223
1,ALBA,"ŞCOALA GIMNAZIALĂ ”IOSIF PERVAIN” CUGIR",147,"ORAŞ CUGIR",1696,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:01:25",999,984,3,11,1,448,436,0,11,1,435,13,1100,652,148,50,41,196
1,ALBA,"ȘCOALA GIMNAZIALĂ IOSIF PERVAIN CUGIR",149,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:38:28",1113,1110,0,3,0,465,462,0,3,0,446,18,1200,736,143,84,41,178
