precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIOANCĂ VASIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","KORODI ATTILA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ERŐS MARIA-PARTIDUL NAȚIONAL LIBERAL-voturi","TŐKE ERVIN-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
21,HARGHITA,"CASA DE CULTURĂ A SINDICATELOR MIERCUREA-CIUC",3,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:13:59",1490,1476,5,9,0,635,626,0,9,0,616,19,1600,965,40,451,27,98
21,HARGHITA,"CASA DE CULTURĂ TOPLIȚA MIERCUREA-CIUC",22,"MUNICIPIUL MIERCUREA-CIUC",83320,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:08:37",1671,1660,5,6,0,878,871,1,6,0,846,32,1800,922,17,676,17,136
21,HARGHITA,"GRĂDINIŢA ”ARANYALMA” MIERCUREA-CIUC",17,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:37:02",1562,1534,7,19,2,528,506,1,19,2,514,14,1600,1072,49,378,39,48
21,HARGHITA,"GRĂDINIŢA „NAPRAFORGÓ” MIERCUREA-CIUC",10,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:55:50",1421,1418,2,1,0,661,660,0,1,0,639,22,1600,939,42,466,41,90
21,HARGHITA,"LICEUL DE ARTE ”NAGY ISTVÁN” MIERCUREA-CIUC",2,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:37:21",1477,1462,2,11,2,670,658,0,10,2,649,21,1800,1130,52,452,43,102
21,HARGHITA,"LICEUL TEHNOLIGIC ”SZÉKELY KÁROLY” MIERCUREA-CIUC",19,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:16",1405,1384,10,10,1,632,621,0,10,1,625,7,1500,868,34,469,29,93
21,HARGHITA,"LICEUL TEHNOLIGIC ”SZÉKELY KÁROLY” MIERCUREA-CIUC",18,"MUNICIPIUL MIERCUREA-CIUC",83320,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:53",1451,1433,0,14,4,621,603,0,14,4,605,16,1600,979,22,460,24,99
21,HARGHITA,"SALA DE SPORT A ȘCOLII GIMNAZIALE ”JÓZSEF ATTILA” MIERCUREA-CIUC",15,"MUNICIPIUL MIERCUREA-CIUC",83320,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:50:58",1644,1615,15,13,1,720,706,0,13,1,697,23,1800,1080,54,499,56,88
21,HARGHITA,"SALA DE SPORT A ȘCOLII GIMNAZILAE ”JÓZSEF ATTILA” MIERCUREA-CIUC",16,"MUNICIPIUL MIERCUREA-CIUC",83320,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:30:00",1452,1440,3,3,6,627,618,0,3,6,598,20,1600,973,65,389,59,85
21,HARGHITA,"S.C. GOSCOM S.A MIERCUREA-CIUC",11,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:27:57",1156,1156,0,0,0,450,450,0,0,0,433,17,1300,850,31,312,19,71
