precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TIMIŞ ION-SORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","DANCI SANDA-SORINA-PARTIDUL NAȚIONAL LIBERAL-voturi","ROMAN DINU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IVAŞCO TIBI-UNIUNEA SALVAȚI ROMÂNIA-voturi","TIMIŞ SORIN-PARTIDUL S.O.S. ROMÂNIA-voturi","TIMIŞ TRAIAN-REMUS-FORȚA DREPTEI-voturi","MIHALI VASILE-SORIN-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi"
26,MARAMUREŞ,"ŞCOALA BIRŢ",144,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:50:48",1351,1328,0,10,13,552,529,0,10,13,521,31,1400,848,295,106,68,23,22,6,1
26,MARAMUREŞ,"ŞCOALA FÎNTÎNA",145,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:18:08",1184,1174,3,4,3,470,463,0,4,3,437,33,1300,830,240,144,29,8,10,4,2
26,MARAMUREŞ,"ŞCOALA GÎRLEA",139,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:57:31",1095,1082,0,5,8,514,501,0,5,8,490,24,1200,686,300,117,57,2,10,4,0
26,MARAMUREŞ,"ŞCOALA NR. 1",131,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:17:04",1386,1380,0,6,0,580,574,0,6,0,553,27,1600,1020,307,154,31,10,18,28,5
26,MARAMUREŞ,"ŞCOALA NR. 1",130,"ORAŞ BORŞA",106746,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:18",1220,1211,0,8,1,412,406,0,5,1,395,17,1300,888,246,88,31,11,15,3,1
26,MARAMUREŞ,"ŞCOALA NR. 7",149,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:12:27",1342,1334,1,7,0,506,498,1,7,0,480,19,1527,1028,300,66,79,14,12,8,1
26,MARAMUREŞ,"ŞCOALA NR. 7",148,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:30:12",1158,1154,0,4,0,440,436,0,4,0,423,17,1300,860,222,87,78,12,3,18,3
26,MARAMUREŞ,"ŞCOALA NR. 8",132,"ORAŞ BORŞA",106746,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:31",1326,1315,2,5,4,552,542,1,5,4,526,26,1400,822,315,88,79,19,17,7,1
26,MARAMUREŞ,"ŞCOALA NR. 8",133,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:31:37",1353,1347,0,5,1,604,598,0,5,1,583,21,1600,996,323,132,83,16,10,14,5
26,MARAMUREŞ,"ŞCOALA NR. 9",134,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:51:52",1608,1593,2,11,2,618,605,0,11,2,599,19,1700,1082,362,155,40,16,15,6,5
26,MARAMUREŞ,"ŞCOALA NR. 9",135,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:21:04",1097,1085,2,8,2,427,417,0,8,2,409,18,1200,773,237,85,56,9,10,11,1
26,MARAMUREŞ,"ŞCOALA NR. 9 CORP B",138,"ORAŞ BORŞA",106746,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:46:11",1069,1025,1,9,34,414,373,0,9,32,392,22,1100,686,206,100,47,13,7,15,4
26,MARAMUREŞ,"ŞCOALA NR. 9 CORP B",136,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:27:19",1190,1174,3,10,3,517,504,0,10,3,506,11,1300,783,261,150,56,15,10,12,2
26,MARAMUREŞ,"ŞCOALA NR. 9 CORP B",137,"ORAŞ BORŞA",106746,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:52",798,789,1,8,0,315,307,0,8,0,306,9,900,585,166,62,38,16,5,17,2
26,MARAMUREŞ,"ŞCOALA POIANA",143,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:05:53",1023,1015,1,5,2,399,392,0,5,2,387,12,1100,701,189,115,58,5,15,5,0
26,MARAMUREŞ,"ŞCOALA POIANA",142,"ORAŞ BORŞA",106746,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:10:49",985,968,5,6,6,432,417,3,6,6,427,5,1100,668,221,107,74,0,17,5,3
