precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BUT TEODOR-FLORIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MAXIM EUGEN-SORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","NICORAŞ FLORIN-VASILE-UNIUNEA SALVAȚI ROMÂNIA-voturi"
33,SĂLAJ,"CĂMIN CULTURAL",83,BĂNIŞOR,140208,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:44",477,473,0,3,1,292,288,0,3,1,284,8,520,228,16,230,38
33,SĂLAJ,"CAMIN CULTURAL BAN, NR. 55",84,BĂNIŞOR,140208,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:44:11",349,335,1,11,2,210,197,0,11,2,202,8,400,190,7,117,78
33,SĂLAJ,"ŞCOALA PECEIU, NR. 137",85,BĂNIŞOR,140208,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:33:08",722,705,0,14,3,472,455,0,14,3,456,16,750,278,200,178,78
