precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DĂNILĂ GHEORGHE-UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","URSU DANIEL-CASIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","OLARU VALENTIN-GEORGE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL LĂPUŞNIC",308,BARA,155662,3,PART,PRCNCT,P,P_SV,"2024-06-15 15:58:53",105,54,0,51,0,94,43,0,51,0,89,5,110,16,27,16,46
37,TIMIŞ,"CĂMINUL CULTURAL RĂDMĂNEŞTI",309,BARA,155662,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:01:32",82,45,0,37,0,66,29,0,37,0,64,2,80,14,5,23,36
37,TIMIŞ,"CLĂDIREA COMUNEI BARA ( FOSTA SCOALĂ DOBRESTI)",307,BARA,155662,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:24:56",84,36,0,47,1,78,30,0,47,1,77,1,90,12,27,21,29
37,TIMIŞ,"PRIMARIA BARA",306,BARA,155662,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:24:08",273,153,3,112,5,244,125,2,112,5,241,3,260,16,8,155,78
