precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi"
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ ”EMIL GÂRLEANU” BĂRĂGANU",382,BĂRĂGANU,63294,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:34:52",935,931,0,2,2,488,484,0,2,2,476,12,1019,531,123,236,58,59
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ ”EMIL GÂRLEANU” BĂRĂGANU - ȘCOALA PRIMARĂ NR. 1 LANURILE",383,BĂRĂGANU,63294,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:39:22",727,724,1,0,2,468,465,1,0,2,450,10,800,332,63,131,204,52
