precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IONESCU VIOLETA-CĂTĂLINA-FORȚA DREPTEI-voturi","MARCUŞANU EMILIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","TĂNASE ADRIANA-VIOLETA-PARTIDUL NAȚIONAL LIBERAL-voturi","BADEA SILVIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ NR.1 OLTENI",221,OLTENI,153473,2,PART,PRCNCT,P,P_SV,"2024-06-13 18:29:27",1500,1444,0,51,5,1107,1051,0,51,5,1044,63,1585,478,394,251,15,384
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ NR.2 PERII-BROŞTENI",222,OLTENI,153473,2,PART,PRCNCT,P,P_SV,"2024-06-13 19:01:43",865,836,0,26,3,624,595,0,26,3,618,6,910,286,182,293,12,131
