precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"JÉNÁKI CSONGOR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
15,COVASNA,"ŞCOALA PRIMARĂ NR.2 LEMNIA DE SUS",157,LEMNIA,64461,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:26:31",851,826,0,2,23,390,365,0,2,23,375,15,900,510,375
15,COVASNA,"SEDIUL PRIMĂRIEI LEMNIA",156,LEMNIA,64461,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:32:21",708,676,2,3,27,404,373,1,3,27,389,15,753,349,389
