precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","FORȚA DREPTEI-voturi"
17,DOLJ,"CAMIN CULTURAL GIUBEGA",363,GIUBEGA,72506,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:23:57",911,818,2,67,24,614,524,0,67,23,584,30,906,292,262,27,150,59,36,41,9
17,DOLJ,"PRIMARIA VECHE",364,GIUBEGA,72506,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:29:17",864,789,0,65,10,625,550,0,65,10,596,27,900,277,227,48,206,96,12,2,5
