precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CERNEGA TUDOR-PARTIDUL SOCIAL DEMOCRAT-voturi","STAICU CRISTINA-VALENTINA-PARTIDUL NAȚIONAL LIBERAL-voturi"
38,TULCEA,"CĂMINUL CULTURAL",98,CEATALCHIOI,160047,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:40:49",364,347,1,13,3,257,240,1,13,3,250,7,397,140,137,113
38,TULCEA,"ŞCOALA VECHE",100,CEATALCHIOI,160047,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:09:13",28,22,0,6,0,22,16,0,6,0,22,0,24,2,16,6
38,TULCEA,"ŞCOALA VECHE",99,CEATALCHIOI,160047,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:54:15",189,167,0,20,2,142,120,0,20,2,136,5,177,36,118,18
