precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VOICU CONSTANTIN-DRAGOŞ-PARTIDUL SOCIAL DEMOCRAT-voturi","PELMUŞ EUGEN-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","STROE PETRU-PARTIDUL NAȚIONAL LIBERAL-voturi"
10,BUZĂU,"ŞCOALA GIMNAZIALA COMUNA SIRIU, JUDETUL BUZAU,DIN SATUL LUNCA JARISTEI",361,SIRIU,49484,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:27:57",1393,1363,0,6,24,961,931,0,6,24,937,24,1500,539,743,19,175
10,BUZĂU,"ŞCOALA PRIMARĂ SAT COLŢU PIETRII,COMUNA SIRIU,JUDETUL BUZĂU",362,SIRIU,49484,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:19:22",1155,1120,0,13,22,869,834,0,13,22,840,29,1257,388,678,7,155
