precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SANDU ROMICĂ-IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","DOTCOŞ SEBASTIAN-IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MĂINEA GHEORGHIŢĂ-GABRIEL-PARTIDUL PRO ROMÂNIA-voturi"
34,SIBIU,"FOSTĂ ŞCOALĂ GENERALĂ ILIMBAV",297,MARPOD,144893,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:05:23",179,165,1,11,2,118,105,0,11,2,115,3,182,64,34,74,7
34,SIBIU,"PRIMĂRIA MARPOD",296,MARPOD,144893,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:14:02",616,582,11,19,4,391,367,1,19,4,376,15,650,259,57,290,29
