precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VĂCARIU GHEORGHE-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","SURU VICHENTE-PARTIDUL SOCIAL DEMOCRAT-voturi"
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ PETROȘNIȚA",191,BUCOŞNIŢA,51751,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:15:36",806,788,0,6,12,416,398,0,6,12,406,10,875,459,22,384
11,CARAŞ-SEVERIN,"ȘCOALA PRIMARĂ BUCOȘNIȚA",189,BUCOŞNIŢA,51751,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:23:59",615,590,4,4,17,316,294,1,4,17,314,1,652,336,17,297
11,CARAŞ-SEVERIN,"ȘCOALA PRIMARĂ GOLEȚ",190,BUCOŞNIŢA,51751,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:01:32",444,428,0,8,8,285,269,0,8,8,277,8,473,188,5,272
11,CARAŞ-SEVERIN,"ȘCOALA PRIMARĂ VĂLIȘOARA",192,BUCOŞNIŢA,51751,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:54:05",280,271,0,1,8,280,271,0,1,8,279,1,575,295,87,192
