precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOTRESCU VASILE-CLAUDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","LEANCU COSMIN-IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","DECEANU VALENTIN-GHEORGHE-PARTIDUL VIITORUL ȚĂRII FĂGĂRAȘULUI-voturi"
8,BRAŞOV,"CAMIN CULTURAL BECLEAN",299,BECLEAN,40544,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:14:00",777,720,2,42,13,432,376,1,42,13,422,10,762,330,328,71,23
8,BRAŞOV,"CAMIN CULTURAL BOHOLT",300,BECLEAN,40544,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:42:50",186,159,0,24,3,148,121,0,24,3,146,2,204,56,93,50,3
8,BRAŞOV,"CAMIN CULTURAL CALBOR",301,BECLEAN,40544,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:52:17",236,215,0,19,2,161,140,0,19,2,155,6,215,54,125,27,3
8,BRAŞOV,"CAMIN CULTURAL LUTA",303,BECLEAN,40544,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:53:10",90,69,0,19,2,74,53,0,19,2,74,0,100,26,58,13,3
8,BRAŞOV,"CLADIRE FOST SEDIU PRIMARIE",302,BECLEAN,40544,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:40:06",406,376,5,17,8,289,264,0,17,8,280,9,400,111,86,183,11
