precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL VERDE-voturi"
28,MUREŞ,"CAMINUL CULTURAL CIPAIENI",513,SÂNGER,119386,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:08:28",538,516,0,3,19,394,372,0,3,19,371,23,535,141,1,83,138,75,74
28,MUREŞ,"GRADINITA CU PROGRAM NORMAL SANGER",512,SÂNGER,119386,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:03:49",1271,1226,2,24,19,858,815,0,24,19,812,46,1436,578,53,143,313,224,79
