precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GRĂDINARU VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","MARIN CONSTANTIN-CĂTĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BĂLAŞA CRISTIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","AMUZA DANIEL-PARTIDUL S.O.S. ROMÂNIA-voturi"
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ RACIU",353,RACIU,179891,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:16:51",1250,1238,2,7,3,718,708,0,7,3,707,11,1366,648,343,248,91,25
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ȘUȚA SEACĂ - RACIU",355,RACIU,179891,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:09:06",705,700,0,1,4,414,409,0,1,4,400,14,770,356,254,37,92,17
16,DÂMBOVIŢA,"ȘCOALA PRIMARĂ SILIȘTEA - RACIU",354,RACIU,179891,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:49:40",718,704,0,6,8,448,434,0,6,8,424,10,790,356,264,69,65,26
