precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STAN EMANUELA-SORINA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NICOLAE MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","CARPEN MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","BĂNICĂ MARIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
23,IALOMIŢA,"ȘCOALA GENERALĂ ARMĂȘEȘTI",97,ARMĂŞEŞTI,100870,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:20:20",592,580,0,12,0,319,307,0,12,0,312,7,640,321,33,5,244,30
23,IALOMIŢA,"ŞCOALA GENERALĂ MALU ROȘU",98,ARMĂŞEŞTI,100870,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:04:40",1090,1067,0,23,0,589,566,0,23,0,572,17,1173,584,21,4,449,98
