precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MUNTEAN GHEORGHE-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","HANEA DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","IVAN VALENTIN-DUMITRU-IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
34,SIBIU,"CĂMINUL CULTURAL AL COMUNEI SADU",340,SADU,145471,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:02:40",908,888,1,3,16,635,616,0,3,16,622,13,1000,365,58,33,531
34,SIBIU,"CĂMINUL CULTURAL AL COMUNEI SADU",341,SADU,145471,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:23:37",1336,1311,10,13,2,881,864,2,13,2,861,20,1456,575,683,70,108
