precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PREOTEASA MARIUS-PAULIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","VIERU LIVIUS-AUREL-PARTIDUL NAȚIONAL LIBERAL-voturi"
30,OLT,"SCOALA GENERALA",317,STOICĂNEŞTI,129111,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:03:42",1133,1094,1,6,32,721,682,1,6,32,709,12,1239,518,442,267
30,OLT,"SCOALA GENERALA",318,STOICĂNEŞTI,129111,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:22:52",914,861,2,5,46,560,507,2,5,46,547,13,983,423,329,218
