precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
18,GALAŢI,"CAMINUL CULTURAL",389,SCÂNTEIEŞTI,77126,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:39:26",740,709,0,1,30,408,377,0,1,30,387,21,806,398,243,15,118,11
18,GALAŢI,"CAMINUL CULTURAL",390,SCÂNTEIEŞTI,77126,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:05:18",1300,1236,1,7,56,720,657,0,7,56,673,47,1357,631,130,30,478,35
