precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
37,TIMIŞ,"GRĂDINIȚA CU PROGRAM NORMAL CRIVINA DE SUS",516,PIETROASA,158136,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:27:56",164,161,0,1,2,112,109,0,1,2,105,7,173,61,78,24,3
37,TIMIŞ,"GRĂDINIȚA CU PROGRAM NORMAL PIETROASA",515,PIETROASA,158136,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:45:58",261,253,0,1,7,218,210,0,1,7,210,8,315,97,152,30,28
37,TIMIŞ,"ȘCOALA PRIMARĂ FĂRĂŞEŞTI",517,PIETROASA,158136,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:50",186,182,0,2,2,140,136,0,2,2,137,3,200,60,124,12,1
37,TIMIŞ,"ȘCOALA PRIMARĂ POIENI",518,PIETROASA,158136,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:54:23",226,218,0,5,3,172,164,0,5,3,161,11,230,58,133,26,2
