precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL SUHULEȚ",694,TANSA,99441,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:52:07",879,815,1,20,43,594,530,1,20,43,571,23,1012,418,38,316,208,9
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL TANSA",693,TANSA,99441,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:15",1596,1533,0,18,45,649,586,0,18,45,624,25,1700,1051,11,245,348,20
