precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ISTRĂTESCU IULIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CHIRILĂ GHEORGHIŢĂ-CRISTINEL-PARTIDUL SOCIAL DEMOCRAT-voturi","SENIC MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi"
35,SUCEAVA,"SCOALA CU CLASELE I - IV ” ILIE GRAMADA”",469,STROIEŞTI,150310,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:40:02",586,580,0,6,0,362,356,0,6,0,350,12,692,330,18,64,268
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ STROIEŞTI, SALA DE CLASĂ",468,STROIEŞTI,150310,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:10:50",989,985,0,4,0,540,536,0,4,0,522,18,1100,560,60,20,442
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ STROIEŞTI, SALA DE SPORT",467,STROIEŞTI,150310,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:26:46",1137,1135,0,2,0,662,660,0,2,0,637,25,1200,538,54,33,550
