precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"KWASNITZKY MIHAELA-EMANUELA-PARTIDUL NAȚIONAL LIBERAL-voturi","FOFIU RADU-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RANCA DACIAN-IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","SANDU CRISTIAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
2,ARAD,"CĂMINUL CULTURAL SÂNPAUL",388,ŞOFRONEA,9360,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:59:19",728,694,3,14,17,491,459,1,14,17,480,11,760,269,51,27,14,388
2,ARAD,"CĂMINUL CULTURAL ŞOFRONEA",387,ŞOFRONEA,9360,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:48:23",1915,1876,6,12,21,1093,1060,0,12,21,1068,25,2068,975,361,347,37,323
