precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","UNIUNEA NAȚIUNII ROMÂNE-voturi"
5,BIHOR,"CĂMINUL CULTURAL",620,TĂUTEU,31654,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:05:10",646,643,0,2,1,335,332,0,2,1,329,6,709,374,44,57,48,136,34,10
5,BIHOR,"CĂMINUL CULTURAL GITTAI ISTVÁN",618,TĂUTEU,31654,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:57:07",902,884,0,4,14,594,576,0,4,14,589,5,978,384,574,5,3,7,0,0
5,BIHOR,"ȘCOALA GIMNAZIALĂ NR. 2",619,TĂUTEU,31654,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:02:52",1218,1199,0,6,13,582,563,0,6,13,554,28,1335,753,169,117,191,64,1,12
5,BIHOR,"ŞCOALA GIMNAZIALĂ NR.4 CIUTELEC",621,TĂUTEU,31654,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:12:35",534,516,0,5,13,308,290,0,5,13,293,15,579,271,27,115,19,110,6,16
5,BIHOR,"SCOALA PRIMARA",622,TĂUTEU,31654,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:38:03",223,213,0,10,0,128,118,0,10,0,125,3,232,104,62,11,14,33,3,2
