precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
41,VRANCEA,"CĂMINUL CULTURAL BOGZA",274,SIHLEA,177600,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 11:52:17",669,645,0,9,15,300,276,0,9,15,285,15,729,429,86,9,19,171
41,VRANCEA,"PRIMARIA COMUNEI SIHLEA",273,SIHLEA,177600,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:05:29",1890,1850,1,9,30,999,960,0,9,30,939,60,2077,1078,203,37,62,637
41,VRANCEA,"ȘCOALA GIMNAZIALĂ VOETIN",276,SIHLEA,177600,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 11:46:29",861,833,0,12,16,419,391,0,12,16,391,28,936,517,65,7,14,305
41,VRANCEA,"ȘCOALA PRIMARĂ CĂIATA",275,SIHLEA,177600,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 11:59:29",607,593,1,8,5,291,278,0,8,5,272,19,663,372,78,10,30,154
