precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
36,TELEORMAN,"CASA DE CULTURĂ",51,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:40:58",414,397,0,16,1,414,397,0,16,1,393,8,1110,697,54,169,23,147
36,TELEORMAN,"CENTRUL CULTURAL",40,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:34:30",1014,1007,0,5,2,412,405,0,5,2,388,24,1110,698,39,198,38,113
36,TELEORMAN,"CLUBUL COPIILOR",44,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:20:44",1253,1247,1,5,0,648,643,0,5,0,523,24,1380,832,47,246,50,180
36,TELEORMAN,"COLEGIUL NAŢIONAL ”ANASTASESCU”",52,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:26:58",1307,1306,0,1,0,523,522,0,1,0,504,18,1480,957,60,240,47,157
36,TELEORMAN,"COLEGIUL TEHNIC ”ANGHEL SALIGNY”",38,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:32:41",991,980,0,9,2,426,415,0,9,2,405,21,1100,674,46,206,48,105
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3",53,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:52:14",1155,1145,0,9,1,438,428,0,9,1,421,17,1300,862,19,226,46,130
36,TELEORMAN,"GRĂDINITA CU PROGRAM NORMAL NR.5",48,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:31:10",1332,1325,1,4,2,492,486,0,4,2,472,20,1470,978,41,207,61,163
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR.5",49,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:14:11",1030,1018,0,7,5,459,447,0,7,5,444,15,1120,661,37,200,69,138
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR. 6",55,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:50:49",964,957,0,4,3,372,365,0,4,3,357,15,1060,688,30,152,53,122
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.1",39,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:31:10",987,981,0,3,3,987,981,0,3,3,385,11,1080,673,37,163,50,135
36,TELEORMAN,"LICEUL TEHNOLOGIC ”EMIL RACOVIŢĂ”",50,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:07:51",1262,1235,2,7,18,492,467,0,7,18,470,22,1360,868,49,210,61,150
36,TELEORMAN,"LICEUL TEHNOLOGIC ”VIRGIL MADGEARU”",54,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:48:25",1096,1085,2,7,2,433,424,0,7,2,414,18,1200,768,41,192,56,125
36,TELEORMAN,"MUZEUL DE ISTORIE",43,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:10:27",989,980,0,7,2,415,406,0,7,2,402,7,1090,675,38,175,55,134
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU DEPĂRĂŢEANU”",47,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:38:27",1021,1009,0,7,5,449,437,0,7,5,422,27,1120,671,50,161,44,167
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU DEPĂRĂŢEANU”",46,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:14:03",1296,1289,0,3,4,396,389,0,3,4,377,16,1420,1010,27,190,46,114
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU DEPĂRĂŢEANU”",45,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:28:34",1232,1213,0,2,17,495,476,0,2,17,453,42,1360,865,36,271,37,109
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”DAN BERINDEI”",37,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:39:53",1123,1100,1,6,16,474,452,0,6,16,446,21,1220,753,34,237,36,139
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”GALA GALACTION”",41,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:00:05",1030,1025,0,2,3,375,370,0,2,3,350,25,1130,755,34,154,60,102
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”GALA GALACTION”",42,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:40:33",1092,1082,0,3,7,327,317,0,3,7,300,27,1200,873,21,170,35,74
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ZAHARIA STANCU”",36,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:39",1055,1051,2,2,0,410,408,0,2,0,399,11,1165,755,28,197,56,118
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ZAHARIA STANCU”",35,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:23:27",1126,1124,0,1,1,484,482,0,1,1,472,12,1246,762,38,234,48,152
