precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi"
34,SIBIU,"FOSTA ŞCOALĂ ŢELINE",257,BRĂDENI,144376,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:04:15",119,93,1,25,0,87,62,0,25,0,80,7,100,13,58,14,2,1,0,2,3
34,SIBIU,"SALA MARE FOSTĂ PRIMĂRIE",256,BRĂDENI,144376,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:39:10",416,389,0,23,4,249,222,0,23,4,234,15,430,181,104,65,4,28,3,15,15
34,SIBIU,"SALA MARE-PRIMĂRIE",255,BRĂDENI,144376,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:58:43",825,776,2,45,2,498,450,1,45,2,429,69,839,341,152,167,43,13,7,14,33
