precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL PRO ROMÂNIA-voturi"
34,SIBIU,"PRIMĂRIA TILIŞCA",374,TILIŞCA,145907,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:50:25",836,786,3,27,20,630,582,1,27,20,606,24,860,230,195,204,39,51,70,47
34,SIBIU,"ŞCOALA PRIMARĂ ROD",375,TILIŞCA,145907,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:38:04",333,316,0,17,0,228,211,0,17,0,214,14,350,122,87,86,15,12,5,9
