precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TRUŢĂ ALEXANDRA-MARIANA-VASILICA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VĂSÎI MONALISA-MANUELA-PARTIDUL NAȚIONAL LIBERAL-voturi","ALBU-WEBER LUCIAN-MIHAEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL CHIMINDIA",379,HĂRĂU,89801,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:10:08",308,288,0,13,7,192,172,0,13,7,190,2,323,131,22,0,168
22,HUNEDOARA,"CĂMINUL CULTURAL HĂRĂU",376,HĂRĂU,89801,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:20",680,657,0,4,19,402,379,0,4,19,397,5,748,346,43,32,322
22,HUNEDOARA,"DISPENSAR UMAN BÂRSĂU",378,HĂRĂU,89801,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:05:29",423,402,0,7,14,288,267,0,7,14,280,8,457,169,45,19,216
22,HUNEDOARA,"SPAȚIU ADMINISTRATIV BANPOTOC",377,HĂRĂU,89801,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:17:26",396,376,2,5,13,273,255,0,5,13,266,7,410,137,33,7,226
