precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MĂNESCU ILIE-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞTIOAPA DORU-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","MILULESCU TUDOR-UNIUNEA SALVAȚI ROMÂNIA-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",238,DOMAŞNEA,52721,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:37:23",343,299,0,21,23,266,222,0,21,23,263,3,330,64,191,65,7
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",237,DOMAŞNEA,52721,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:54:38",831,702,1,83,45,634,506,0,83,45,623,11,822,188,343,273,7
