precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MEZDREA VILUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","ŢIGANEA GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi"
35,SUCEAVA,"CASA DE CULTURĂ ”ELISEI TODAȘCĂ”",427,"POIANA STAMPEI",149851,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:04",1607,1559,0,8,40,1098,1050,0,8,40,1034,16,1788,738,994,40
35,SUCEAVA,"CENTRUL CULTURAL EDUCAȚIONAL",428,"POIANA STAMPEI",149851,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:56:50",250,238,0,5,7,158,146,0,5,7,155,3,250,92,153,2
