precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
8,BRAŞOV,"CAMINUL CULTURAL VULCAN",465,VULCAN,42398,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:43:03",1803,1789,8,4,2,1118,1110,2,4,2,1066,52,1950,832,384,630,52
8,BRAŞOV,"CAMINUL CULTURAL VULCAN",464,VULCAN,42398,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:21:21",1709,1694,5,2,8,1106,1096,0,2,8,1073,33,1900,794,477,526,70
8,BRAŞOV,"CLĂDIRE ȘCOALA COLONIA 1 MAI",466,VULCAN,42398,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:55:18",736,726,1,9,0,476,467,0,9,0,446,30,800,323,141,279,26
