precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BORCAN COSMIN-DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","LINCĂ VIOREL-UNIUNEA SALVAȚI ROMÂNIA-voturi","GÎRNICEANU ION-PARTIDUL SOCIAL DEMOCRAT-voturi","BUŞE CONSTANTIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GUŞIŢĂ PETRE-PARTIDUL MIȘCAREA POPULARĂ-voturi"
20,GORJ,"CĂMIN CULTURAL JUPÎNEŞTI",232,JUPÂNEŞTI,80613,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:57:25",523,514,0,9,0,356,347,0,9,0,336,11,600,253,40,9,240,27,20
20,GORJ,"ŞCOALA PRIMARĂ PÎRÎU-BOIA",233,JUPÂNEŞTI,80613,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:34:33",286,280,0,5,1,165,159,0,5,1,161,4,300,135,4,0,121,13,23
20,GORJ,"ŞCOALA PRIMARĂ VIDIN",234,JUPÂNEŞTI,80613,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:04:35",187,180,0,5,2,125,118,0,5,2,118,5,200,77,25,2,73,0,18
20,GORJ,"SCOALA PRIMARĂ VIERŞANI",235,JUPÂNEŞTI,80613,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:15",636,620,1,14,1,330,315,0,14,1,323,7,676,346,10,1,246,48,18
