precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL VERDE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"ŞCOALA GIMNAZIALA NEGOSTINA",217,BĂLCĂUŢI,146995,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:43:13",1084,1044,0,10,30,658,618,0,10,30,644,14,1200,542,84,388,44,8,120
35,SUCEAVA,"ŞCOALA PRIMARA GROPENI",216,BĂLCĂUŢI,146995,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:40:38",312,299,0,6,7,160,147,0,6,7,149,11,375,215,64,56,22,2,5
35,SUCEAVA,"SEDIUL PRIMĂRIEI COMUNEI BĂLCĂUŢI",215,BĂLCĂUŢI,146995,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:54:56",1236,1206,0,7,23,568,538,0,7,23,528,40,1300,732,288,111,72,50,7
