precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂCIOIU ION-PARTIDUL NAȚIONAL LIBERAL-voturi","MILITARU LAURENŢIU-PARTIDUL SOCIAL DEMOCRAT-voturi","TARBĂ MIHAI-GHEORGHE-voturi"
3,ARGEŞ,"CĂMIN CULTURAL DRAGOSLAVELE",342,DRAGOSLAVELE,16472,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:11:24",880,860,0,17,3,613,593,0,17,3,582,11,960,347,292,139,151
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ IOSIF CATRINESCU CLS. V-VIII",341,DRAGOSLAVELE,16472,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:20:15",631,627,0,2,2,429,425,0,2,2,415,14,695,266,130,60,225
3,ARGEŞ,"ŞCOALA VALEA HOTARULUI",343,DRAGOSLAVELE,16472,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:05:43",553,545,1,7,0,400,393,0,7,0,384,16,598,198,169,26,189
