precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
35,SUCEAVA,"CAMIN CULTURAL",454,"SATU MARE",150196,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:46",1188,1181,0,4,3,645,638,0,4,3,622,23,1300,655,126,184,215,3,7,36,42,9
35,SUCEAVA,"SCOALA GIMNAZIALA SAT TIBENI",456,"SATU MARE",150196,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:29:00",1163,1159,2,0,2,546,544,0,0,2,529,17,1300,754,61,148,126,157,7,9,18,3
35,SUCEAVA,"SCOALA GIMNAZIALA SATU MARE",455,"SATU MARE",150196,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:06:54",1231,1224,0,7,0,680,673,0,7,0,647,33,1340,660,99,261,186,7,12,33,20,29
