precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CALOTĂ GEORGIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","DOBRESCU VIOREL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MARIN IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
10,BUZĂU,"CAMINUL CULTURAL BAILE",138,"BALTA ALBĂ",44934,3,PART,PRCNCT,P,P_SV,"2024-06-17 03:18:40",398,340,3,39,16,302,244,3,39,16,291,11,375,73,111,12,168
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL SAT BALTA ALBĂ",136,"BALTA ALBĂ",44934,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:57:40",450,408,0,24,18,310,268,0,24,18,302,8,448,138,159,37,106
10,BUZĂU,"ŞCOALA GIMNAZIALĂ SAT AMARA",137,"BALTA ALBĂ",44934,3,PART,PRCNCT,P,P_SV,"2024-06-17 01:52:06",1246,1123,1,75,47,913,791,0,75,47,904,9,1235,265,411,19,474
