precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LĂZĂRESCU MIHĂIŢĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","BĂDESCU CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","MATEI LEONID-PARTIDUL S.O.S. ROMÂNIA-voturi","ALEXANDRU NICULAE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
30,OLT,"CĂMIN CULTURAL COMĂNIȚA",334,TESLUI,129380,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:17",734,687,0,24,23,512,465,0,24,23,501,11,784,272,380,100,7,14
30,OLT,"ŞCOALA GENERALĂ",333,TESLUI,129380,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:15:35",1289,1237,0,17,35,909,857,0,17,35,878,24,1400,498,399,394,25,60
