precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
19,GIURGIU,"ŞCOALA PRIMARĂ NR. 6 SF. GHEORGHE",74,BĂNEASA,101001,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:44:40",232,200,0,28,4,180,148,0,28,4,170,10,222,42,4,36,1,121,8,0
19,GIURGIU,"ŞCOALA PRIMARĂ NR.7 CUPELE",239,"VÂNĂTORII MICI",105972,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:03:28",349,340,0,7,2,245,236,0,7,2,230,15,379,134,0,78,10,129,11,2
19,GIURGIU,"ŞCOALA PUŢU GRECI",151,GREACA,103470,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:59:39",238,219,0,8,11,187,168,0,8,11,176,11,260,73,6,102,5,34,28,1
19,GIURGIU,"ŞCOALA SCHITU",205,SCHITU,104975,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:36:59",175,151,0,14,10,136,112,0,14,10,133,3,175,39,1,12,5,107,5,3
19,GIURGIU,"ŞCOALA STÂLPU",160,IEPUREŞTI,103693,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:44:43",247,210,0,31,6,218,181,0,31,6,207,11,234,16,0,73,1,120,12,1
19,GIURGIU,"ŞCOALA TEIUŞU",162,ISVOARELE,179766,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:51:02",192,162,0,29,1,148,118,0,29,1,137,11,178,30,1,87,4,30,11,4
19,GIURGIU,"ŞCOALA VECHE CĂLUGĂRENI( MUZEU ).",90,CĂLUGĂRENI,101662,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 17:23:37",1450,1409,0,39,2,973,932,0,39,2,922,51,1556,583,6,190,26,643,50,7
19,GIURGIU,"ŞCOALA VIERU",192,PUTINEIU,104715,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:35:46",588,531,0,53,4,437,380,0,53,4,414,23,572,135,1,170,9,216,18,0
19,GIURGIU,"ŞCOALA ZBOIU",152,GREACA,103470,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:34:13",226,198,0,11,17,166,138,0,11,17,158,8,230,64,2,116,0,18,22,0
19,GIURGIU,"SEDIUL FOSTEI SECŢII DE MECANIZARE A SATULUI DIMITRIE CANTEMIR",165,IZVOARELE,103899,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:31:34",146,102,0,30,14,98,54,0,30,14,96,2,126,28,0,8,1,83,2,2
19,GIURGIU,"SEMINARUL TEOLOGIC TEOCTIST PATRIARHUL",6,"MUNICIPIUL GIURGIU",100521,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 13:33:03",994,985,1,7,1,401,393,0,7,1,381,20,1088,687,10,108,15,184,58,6
