precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"CASA DE CULTURA",101,"MUNICIPIUL RĂDĂUŢI",146628,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 20:44:12",1741,1723,5,9,4,695,682,0,9,4,683,12,2000,1305,53,242,255,24,21,35,53
35,SUCEAVA,"COLEGIUL ANDRONIC MOTRESCU",115,"MUNICIPIUL RĂDĂUŢI",146628,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:03:23",1609,1601,1,7,0,748,741,0,7,0,728,12,1600,860,63,202,356,14,13,49,31
35,SUCEAVA,"COLEGIUL EUDOXIU HURMUZACHI",106,"MUNICIPIUL RĂDĂUŢI",146628,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:51:48",1943,1878,2,36,27,798,736,0,36,26,765,16,2000,1198,54,243,344,16,27,29,52
35,SUCEAVA,"COLEGIUL EUDOXIU HURMUZACHI",105,"MUNICIPIUL RĂDĂUŢI",146628,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:51:04",1798,1780,2,11,5,724,708,0,11,5,704,20,2000,1276,77,258,248,28,23,28,42
35,SUCEAVA,"COLEGIUL TEHNIC",104,"MUNICIPIUL RĂDĂUŢI",146628,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:02:59",1875,1852,3,14,6,744,724,0,14,6,726,18,2000,1256,66,262,291,11,26,19,51
35,SUCEAVA,"COLEGIUL TEHNIC RĂDĂUȚI-CLĂDIRE ÎNVĂȚĂMÂNT LICEAL",108,"MUNICIPIUL RĂDĂUŢI",146628,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:29:11",1836,1826,4,5,1,698,692,0,5,1,680,17,2000,1302,108,228,242,24,14,24,40
35,SUCEAVA,"COLEGIUL TEHNIC RĂDĂUȚI-CLĂDIRE ÎNVĂȚĂMÂNT LICEAL",109,"MUNICIPIUL RĂDĂUŢI",146628,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:02:24",1773,1759,1,13,0,677,664,0,13,0,660,17,2000,1323,48,237,279,12,20,28,36
35,SUCEAVA,"CRESA HIPODROM",111,"MUNICIPIUL RĂDĂUŢI",146628,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:03:10",1778,1766,0,12,0,676,664,0,12,0,663,13,2000,1324,49,280,219,15,25,42,33
35,SUCEAVA,"GALERIILE DE ARTA",102,"MUNICIPIUL RĂDĂUŢI",146628,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:08:10",1709,1697,1,11,0,719,708,0,11,0,701,18,2000,1281,67,264,251,11,25,41,42
35,SUCEAVA,"GRADINITA CU PROGRAM PRELUNGIT PINOCHIO",114,"MUNICIPIUL RĂDĂUŢI",146628,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:16:24",1737,1712,9,15,1,742,726,0,15,1,715,27,2000,1258,45,271,304,17,21,22,35
35,SUCEAVA,"PRIMARIA RADAUTI",100,"MUNICIPIUL RĂDĂUŢI",146628,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:18:37",1908,1892,9,7,0,701,694,0,7,0,680,21,2000,1299,71,240,251,26,23,38,31
35,SUCEAVA,"SCOALA GIMNAZIALA GHEORGHE POPADIUC NR.1",113,"MUNICIPIUL RĂDĂUŢI",146628,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:04:54",1955,1948,0,7,0,766,759,0,7,0,742,24,2000,1234,53,239,356,4,28,40,22
35,SUCEAVA,"SCOALA GIMNAZIALA NR.2",112,"MUNICIPIUL RĂDĂUŢI",146628,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:06:04",1617,1608,4,4,1,654,649,0,4,1,643,11,1986,1332,58,206,298,11,22,24,24
35,SUCEAVA,"SCOALA GIMNAZIALA NR.3 MIHAI EMINESCU",110,"MUNICIPIUL RĂDĂUŢI",146628,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:29:32",1941,1928,0,13,0,770,757,0,13,0,749,21,1980,1210,65,258,289,17,27,39,54
35,SUCEAVA,"SCOALA GIMNAZIALA NR.5 BOGDAN VODA",107,"MUNICIPIUL RĂDĂUŢI",146628,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:36:53",1631,1616,0,13,2,626,611,0,13,2,609,16,2000,1374,58,241,224,12,25,20,29
35,SUCEAVA,"SCOALA GIMNAZIALA REGINA ELISABETA NR.4",103,"MUNICIPIUL RĂDĂUŢI",146628,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:18:04",1869,1856,4,9,0,759,750,0,9,0,741,18,2000,1223,69,274,279,25,25,28,41
