precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MARDALE ANA-MARIA-PARTIDUL NAȚIONAL LIBERAL-voturi","NĂSTĂSESCU GABRIEL-SEBASTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","POPESCU FLORIAN-FORȚA DREPTEI-voturi"
40,VÂLCEA,"LOCALUL PRIMĂRIEI VOINEASA",428,VOINEASA,174254,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:07:12",634,618,0,8,8,421,405,0,8,8,409,12,680,259,207,179,23
40,VÂLCEA,"ŞCOALA CU CLASELE I-VIII VOINEASA",429,VOINEASA,174254,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:10:14",613,587,1,14,11,425,400,0,14,11,402,23,650,225,166,207,29
