precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BIRTAŞ AUGUSTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","VĂŞCAN AUGUSTIN-VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi"
33,SĂLAJ,"ŞCOALA CU CLASELE I-IV GOSTILA",249,"POIANA BLENCHII",142373,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:18:22",338,288,0,35,15,261,211,0,35,15,260,1,320,59,34,226
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ POIANA BLENCHII",248,"POIANA BLENCHII",142373,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:25:39",628,582,1,16,29,460,414,1,16,29,444,16,625,165,269,175
