precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA CREȘTIN DEMOCRATĂ DIN ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PUNGILĂ IACOB-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL GÂRBOVĂȚ",162,BĂNIA,51305,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:04:27",500,448,0,37,15,349,297,0,37,15,331,18,493,144,169,121,13,14,5,7,2
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ BĂNIA",161,BĂNIA,51305,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:54:37",957,874,0,53,30,754,671,0,53,30,737,17,997,243,101,376,49,89,20,89,13
