precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ISACHI DECEBAL-DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","MIHAI MIRCEA-PARTIDUL SOCIAL DEMOCRAT-voturi","COSTEA MARIANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","COJOCARIU MARIA-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"LICEUL TEHNOLOGIC ”OLTEA DOAMNA”",141,"ORAŞ DOLHASCA",148006,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:56:41",1181,1169,2,9,1,570,560,0,9,1,552,18,1289,719,242,268,11,31
35,SUCEAVA,"LICEUL TEHNOLOGIC ”OLTEA DOAMNA” ȘCOALA PRIMARĂ - CORP C",142,"ORAŞ DOLHASCA",148006,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:01:28",1002,992,0,7,3,516,506,0,7,3,506,10,1091,575,205,265,25,11
35,SUCEAVA,"ȘCOALA GIMNAZIALĂ BUDENI",144,"ORAŞ DOLHASCA",148006,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:13:52",1141,1129,0,10,2,531,519,0,10,2,490,41,1250,719,243,181,37,29
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ GULIA",145,"ORAŞ DOLHASCA",148006,1,PROV,PRCNCT,P,P_SV,"2024-06-10 21:36:36",1885,1881,0,4,0,789,785,0,4,0,749,40,2101,1312,484,227,17,21
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ PROBOTA",148,"ORAŞ DOLHASCA",148006,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:46:35",1446,1433,0,13,0,717,704,0,13,0,693,20,1600,883,353,290,36,14
35,SUCEAVA,"ŞCOALA PRIMARĂ POIANA",146,"ORAŞ DOLHASCA",148006,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:33:50",369,357,0,12,0,174,162,0,12,0,169,5,392,218,71,76,15,7
35,SUCEAVA,"ŞCOALA PRIMARĂ POIENARI",147,"ORAŞ DOLHASCA",148006,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:57:57",235,230,0,5,0,122,117,0,5,0,114,8,252,130,56,32,22,4
35,SUCEAVA,"ŞCOALA PRIMARĂ SÂNDENI",143,"ORAŞ DOLHASCA",148006,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:26:32",721,717,0,4,0,360,356,0,4,0,346,14,800,440,226,93,19,8
35,SUCEAVA,"ȘCOALA PRIMARĂ SILIȘTEA NOUĂ",149,"ORAŞ DOLHASCA",148006,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:14:43",610,602,0,7,1,330,322,0,7,1,319,11,668,338,156,131,23,9
35,SUCEAVA,"ŞCOALA PRIMARĂ VALEA POIENII",150,"ORAŞ DOLHASCA",148006,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:19:52",408,401,0,7,0,222,215,0,7,0,208,14,345,123,135,54,12,7
