precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASLAU LEONTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VERES ATTILA-CSABA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","CHEŞA ILIE-PARTIDUL SOCIAL DEMOCRAT-voturi","BIBARŢ LAURENŢIU-CĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi","LĂBĂŞAN BOGDAN-PARTIDUL S.O.S. ROMÂNIA-voturi","GALEA CRISTIAN-AUREL-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","WIENER ADRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","COTUNA DĂNUŢ-TUDOR-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
2,ARAD,"AGENȚIA NAȚIONALĂ DE ADMINISTRARE FISCALĂ, FOSTA DIRECȚIE VAMALĂ",74,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:23:13",1023,993,21,9,0,353,344,0,9,0,343,10,1180,827,42,28,75,81,12,16,83,6
2,ARAD,"AGENȚIA NAȚIONALĂ DE ADMINISTRARE FISCALĂ, FOSTA DIRECȚIE VAMALĂ",75,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:02",1372,1227,139,6,0,465,459,0,6,0,454,11,1420,955,35,27,79,139,12,11,147,4
2,ARAD,"CÂMPUL ALBINELOR",115,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:28:49",169,161,0,8,0,85,77,0,8,0,77,8,195,110,19,1,17,21,11,2,5,1
2,ARAD,"CÂMPUL DUMBRAVA ROŞIE",114,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:01:38",99,87,3,9,0,37,28,0,9,0,34,3,110,73,8,1,3,14,2,0,5,1
2,ARAD,"CENTRU PENTRU ACORDAREA AJUTOARELOR BĂNEŞTI PENTRU ÎNCĂLZIREA LOCUINŢELOR",78,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:26:02",1433,1381,38,12,2,438,424,0,12,2,418,20,1620,1182,45,27,78,139,18,20,81,10
2,ARAD,"COLEGIUL „CSIKY GERGELY”",93,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:32:12",1064,1040,9,10,5,361,346,0,10,5,351,10,1180,819,38,50,67,80,13,16,86,1
2,ARAD,"COLEGIUL DE ARTE „SABIN DRĂGOI”",9,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:30:16",914,903,4,7,0,374,366,1,7,0,369,5,1010,632,21,23,62,120,9,24,105,5
2,ARAD,"COLEGIUL DE ARTE „SABIN DRĂGOI”",10,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:57:27",1154,1105,28,18,3,458,436,1,18,3,446,12,1250,792,49,39,88,116,22,14,114,4
2,ARAD,"COLEGIUL ECONOMIC ARAD - (SALA DE CLASĂ B22)",1,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:43:10",1522,1489,22,7,4,348,335,2,7,4,347,1,868,520,32,23,81,78,13,14,102,4
2,ARAD,"COLEGIUL NAŢIONAL „VASILE GOLDIŞ”",8,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:22:33",2097,1835,204,22,36,784,725,1,22,36,763,21,2110,1326,81,44,123,233,14,28,232,8
